number_of_delayed_flights,origin,UniqueCarrier
992,JFK,NW
98,LAX,TZ
1073,SFO,NW
13606,LAX,AA
3475,LAX,AS
2544,LAX,US
2,LAX,B6
133,SFO,TZ
481,JFK,CO
2950,SFO,AS
22321,SFO,OO
13371,JFK,OH
2624,LAX,CO
635,SFO,MQ
3964,LAX,MQ
157,JFK,XE
92,SFO,YV
363,LAX,FL
184,LAX,HA
12808,LAX,UA
1119,JFK,YV
2003,SFO,CO
490,LAX,EV
183,JFK,EV
4928,LAX,DL
326,SFO,XE
569,SFO,WN
3141,SFO,US
8179,JFK,DL
1746,LAX,NW
18567,SFO,UA
5506,SFO,AA
306,SFO,FL
998,JFK,US
16801,LAX,OO
2010,LAX,XE
3762,JFK,MQ
24867,JFK,B6
1664,SFO,DL
5274,JFK,AA
19460,LAX,WN
948,LAX,F9
1218,JFK,UA
91,SFO,HA
290,SFO,B6
949,SFO,F9
394,LAX,YV
118,SFO,EV
