timeOfDay,origin,numberOfDelayedFlights
0,JFK,2
0,LAX,699
0,SFO,369
1,LAX,104
1,SFO,12
2,JFK,1
5,JFK,165
5,LAX,31
5,SFO,3
6,JFK,986
6,LAX,1451
6,SFO,977
7,JFK,1297
7,LAX,2607
7,SFO,1745
8,JFK,4001
8,LAX,3516
8,SFO,2496
9,JFK,3108
9,LAX,3736
9,SFO,2441
10,JFK,1763
10,LAX,5392
10,SFO,4883
11,JFK,1693
11,LAX,5360
11,SFO,4614
12,JFK,2337
12,LAX,6739
12,SFO,6067
13,JFK,2920
13,LAX,5820
13,SFO,5265
14,JFK,1911
14,LAX,5701
14,SFO,4090
15,JFK,3281
15,LAX,5369
15,SFO,4421
16,JFK,7596
16,LAX,6293
16,SFO,3643
17,JFK,6982
17,LAX,5596
17,SFO,2624
18,JFK,4540
18,LAX,7170
18,SFO,4302
19,JFK,6366
19,LAX,4972
19,SFO,2534
20,JFK,6326
20,LAX,5324
20,SFO,3497
21,JFK,3275
21,LAX,4070
21,SFO,2007
22,JFK,1774
22,LAX,4114
22,SFO,3613
23,JFK,277
23,LAX,2381
23,SFO,1131
